Disease,CommonTestAndProcedure
Hemiplegia,Electrocardiogram
Hemiplegia,Kidney function tests (Kidney function test)
Hammer toe,sExamination of foot
Hammer toe,Plain x-ray (X ray)
Hammer toe,Wound care management
Hammer toe,Excision (Removal)
Hammer toe,Bunionectomy or repair of toe deformities
Hammer toe,Electrocardiogram
Hammer toe,Application of splint (Splinting)
Hammer toe,Partial excision bone
Open wound of the cheek,sSuturing of wound
Open wound of the cheek,Radiographic imaging procedure
Open wound of the cheek,Plain x-ray (X ray)
Open wound of the cheek,X-ray computed tomography (Scan ct)
Open wound of the cheek,Wound care management
Open wound of the cheek,CAT scan of head (Head ct)
Open wound of the cheek,Culture wound
Open wound of the cheek,Incision and drainage (I d)
Joint effusion,sRadiographic imaging procedure
Joint effusion,Plain x-ray (X ray)
Joint effusion,Application of splint (Splinting)
Joint effusion,Magnetic resonance imaging (Mri)
Joint effusion,Physical therapy exercises (Exercises)
Joint effusion,Examination of foot
Joint effusion,Other non-OR therapeutic procedures on musculoskeletal system
Joint effusion,Orthopedic casting
Open wound of the knee,sWound care management
Open wound of the knee,Complete physical skin exam performed (ML)
Open wound of the knee,Suturing of wound
Open wound of the knee,Application of splint (Splinting)
Open wound of the knee,Excision (Removal)
Open wound of the knee,Referral to home health care service
Open wound of the knee,Examination of foot
Open wound of the knee,Debridement of wound; infection or burn
Meningioma,sRadiographic imaging procedure
Meningioma,Magnetic resonance imaging (Mri)
Meningioma,X-ray computed tomography (Scan ct)
Meningioma,CAT scan of head (Head ct)
Meningioma,Depression screen (Depression screening)
Meningioma,Physical therapy exercises (Exercises)
Meningioma,Incision and excision of CNS
Meningioma,Diagnostic spinal tap (Spinal tap)
Brain cancer,sHematologic tests (Blood test)
Brain cancer,Complete blood count (Cbc)
Brain cancer,Radiographic imaging procedure
Brain cancer,Magnetic resonance imaging (Mri)
Brain cancer,Glucose measurement (Glucose level)
Brain cancer,Electrolytes panel
Brain cancer,X-ray computed tomography (Scan ct)
Brain cancer,CAT scan of head (Head ct)
Placental abruption,sRadiographic imaging procedure
Placental abruption,Hematologic tests (Blood test)
Placental abruption,Ultrasonography (Ultrasound)
Placental abruption,Pelvis exam
Placental abruption,Urinalysis
Placental abruption,Complete blood count (Cbc)
Placental abruption,Examination of breast
Placental abruption,Complete physical skin exam performed (ML)
Seasonal allergies (hay fever),sComplete physical skin exam performed (ML)
Seasonal allergies (hay fever),Other diagnostic procedures (interview; evaluation; consultation)
Seasonal allergies (hay fever),Lipid panel
Seasonal allergies (hay fever),Other diagnostic procedures on skin and subcutaneous tissue
Seasonal allergies (hay fever),Other therapeutic procedures
Seasonal allergies (hay fever),Ophthalmologic and otologic diagnosis and treatment
Seasonal allergies (hay fever),Ophthalmic examination and evaluation (Eye exam)
Seasonal allergies (hay fever),Diagnostic procedures on nose; mouth and pharynx
Lung cancer,sHematologic tests (Blood test)
Lung cancer,Complete blood count (Cbc)
Lung cancer,Radiographic imaging procedure
Lung cancer,Glucose measurement (Glucose level)
Lung cancer,X-ray computed tomography (Scan ct)
Lung cancer,Electrolytes panel
Lung cancer,Complete physical skin exam performed (ML)
Lung cancer,Magnetic resonance imaging (Mri)
Primary kidney disease,sHematologic tests (Blood test)
Primary kidney disease,Complete blood count (Cbc)
Primary kidney disease,Urinalysis
Primary kidney disease,Glucose measurement (Glucose level)
Primary kidney disease,Electrolytes panel
Primary kidney disease,Lipid panel
Primary kidney disease,Complete physical skin exam performed (ML)
Primary kidney disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Uterine cancer,sPelvis exam
Uterine cancer,Hematologic tests (Blood test)
Uterine cancer,Complete blood count (Cbc)
Uterine cancer,Examination of breast
Uterine cancer,Complete physical skin exam performed (ML)
Uterine cancer,Rectal examination
Uterine cancer,X-ray computed tomography (Scan ct)
Uterine cancer,Magnetic resonance imaging (Mri)
Dry eye of unknown cause,sOphthalmic examination and evaluation (Eye exam)
Dry eye of unknown cause,Other therapeutic procedures on eyelids; conjunctiva; cornea
Dry eye of unknown cause,Ophthalmologic and otologic diagnosis and treatment
Dry eye of unknown cause,Diagnostic procedures on eye
Dry eye of unknown cause,Other extraocular muscle and orbit therapeutic procedures
Dry eye of unknown cause,Other intraocular therapeutic procedures
Dry eye of unknown cause,Lens and cataract procedures
Dry eye of unknown cause,Physical therapy exercises; manipulation; and other procedures
Fibrocystic breast disease,sExamination of breast
Fibrocystic breast disease,Radiographic imaging procedure
Fibrocystic breast disease,Mammography (Mammogram)
Fibrocystic breast disease,Pelvis exam
Fibrocystic breast disease,Ultrasonography (Ultrasound)
Fibrocystic breast disease,Biopsy
Fibrocystic breast disease,Bone density scan
Fibrocystic breast disease,Rectal examination
Fungal infection of the hair,sComplete physical skin exam performed (ML)
Fungal infection of the hair,Excision (Removal)
Fungal infection of the hair,Culture wound
Fungal infection of the hair,Biopsy
Fungal infection of the hair,Microscopic examination (bacterial smear; culture; toxicology)
Fungal infection of the hair,Excision of skin lesion
Fungal infection of the hair,Incision and drainage (I d)
Fungal infection of the hair,Other non-OR therapeutic procedures on skin and breast
Tooth abscess,sIncision and drainage (I d)
Tooth abscess,Culture wound
Tooth abscess,Dental procedures (Care dental)
Leptospirosis,sCorneal transplant
Leptospirosis,Transurethral resection of prostate (TURP) (Turp)
Leptospirosis,Coronary thrombolysis
Leptospirosis,Control of epistaxis
Leptospirosis,CT scan abdomen (Ct of abdomen)
Leptospirosis,Procedures on spleen (Spleen operation)
Leptospirosis,Bone marrow transplant (Bmt)
Leptospirosis,Removal of ectopic pregnancy
Envenomation from spider or animal bite,sIntravenous fluid replacement
Envenomation from spider or animal bite,Wound care management
Envenomation from spider or animal bite,Cardiac monitoring (Cardiac monitor)
Envenomation from spider or animal bite,Culture wound
Envenomation from spider or animal bite,Incision and drainage (I d)
Envenomation from spider or animal bite,Nonoperative removal of foreign body
Envenomation from spider or animal bite,Other vascular catheterization; not heart
Envenomation from spider or animal bite,Other respiratory therapy
VACTERL syndrome,sRectal examination
VACTERL syndrome,Physical therapy exercises (Exercises)
VACTERL syndrome,Magnetic resonance imaging (Mri)
VACTERL syndrome,Ultrasonography (Ultrasound)
VACTERL syndrome,Other diagnostic procedures (interview; evaluation; consultation)
VACTERL syndrome,Corneal transplant
VACTERL syndrome,Procedures on spleen (Spleen operation)
VACTERL syndrome,Removal of ectopic pregnancy
Vertebrobasilar insufficiency,sRadiographic imaging procedure
Vertebrobasilar insufficiency,Complete blood count (Cbc)
Vertebrobasilar insufficiency,Electrocardiogram
Vertebrobasilar insufficiency,Glucose measurement (Glucose level)
Vertebrobasilar insufficiency,X-ray computed tomography (Scan ct)
Vertebrobasilar insufficiency,Ultrasonography (Ultrasound)
Vertebrobasilar insufficiency,Cardiac enzymes measurement (Cardiac enzymes test)
Vertebrobasilar insufficiency,Physical therapy exercises (Exercises)
Rectal disorder,sHematologic tests (Blood test)
Rectal disorder,Complete blood count (Cbc)
Rectal disorder,Rectal examination
Rectal disorder,Sigmoidoscopy or colonoscopy
Rectal disorder,Glucose measurement (Glucose level)
Rectal disorder,Electrolytes panel
Rectal disorder,Kidney function tests (Kidney function test)
Rectal disorder,Intravenous fluid replacement
Atonic bladder,sUrinalysis
Atonic bladder,Prostate specific antigen measurement (Prostate specific antigen test)
Atonic bladder,Rectal examination
Atonic bladder,Ultrasonography (Ultrasound)
Atonic bladder,Other diagnostic procedures (interview; evaluation; consultation)
Atonic bladder,X-ray computed tomography (Scan ct)
Atonic bladder,Other non-OR therapeutic procedures of urinary tract
Atonic bladder,Nonoperative urinary system measurements
Benign paroxysmal positional vertical (BPPV),sHematologic tests (Blood test)
Benign paroxysmal positional vertical (BPPV),Radiographic imaging procedure
Benign paroxysmal positional vertical (BPPV),Complete blood count (Cbc)
Benign paroxysmal positional vertical (BPPV),Glucose measurement (Glucose level)
Benign paroxysmal positional vertical (BPPV),Kidney function tests (Kidney function test)
Benign paroxysmal positional vertical (BPPV),X-ray computed tomography (Scan ct)
Benign paroxysmal positional vertical (BPPV),Intravenous fluid replacement
Benign paroxysmal positional vertical (BPPV),Electrocardiogram
Blepharospasm,sInjections and aspirations of muscles; tendons; bursa; joints and soft tissue
Blepharospasm,Other therapeutic procedures
Blepharospasm,Other diagnostic procedures (interview; evaluation; consultation)
Blepharospasm,Ophthalmic examination and evaluation (Eye exam)
Blepharospasm,Corneal transplant
Blepharospasm,Procedures on spleen (Spleen operation)
Blepharospasm,Removal of ectopic pregnancy
Blepharospasm,Tracheostomy; temporary and permanent
Sarcoidosis,sHematologic tests (Blood test)
Sarcoidosis,Radiographic imaging procedure
Sarcoidosis,Complete blood count (Cbc)
Sarcoidosis,Plain x-ray (X ray)
Sarcoidosis,Electrocardiogram
Sarcoidosis,Complete physical skin exam performed (ML)
Sarcoidosis,Magnetic resonance imaging (Mri)
Sarcoidosis,Biopsy
Metastatic cancer,sHematologic tests (Blood test)
Metastatic cancer,Complete blood count (Cbc)
Metastatic cancer,Radiographic imaging procedure
Metastatic cancer,Glucose measurement (Glucose level)
Metastatic cancer,X-ray computed tomography (Scan ct)
Metastatic cancer,Electrolytes panel
Metastatic cancer,Complete physical skin exam performed (ML)
Metastatic cancer,Examination of breast
Trigger finger (finger disorder),sWound care management
Trigger finger (finger disorder),Other therapeutic procedures
Trigger finger (finger disorder),Physical therapy exercises (Exercises)
Trigger finger (finger disorder),Application of splint (Splinting)
Trigger finger (finger disorder),Occupational therapy assessment (Speech therapy)
Trigger finger (finger disorder),Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
Trigger finger (finger disorder),Decompression peripheral nerve (Peripheral nerve decompression)
Trigger finger (finger disorder),Other non-OR therapeutic procedures on musculoskeletal system
Stye,sPhysical therapy exercises; manipulation; and other procedures
Stye,Incision and drainage (I d)
Stye,Ophthalmic examination and evaluation (Eye exam)
Stye,Nonoperative removal of foreign body
Stye,Culture wound
Stye,Other OR therapeutic nervous system procedures
Hemochromatosis,sHematologic tests (Blood test)
Hemochromatosis,Complete blood count (Cbc)
Hemochromatosis,Complete physical skin exam performed (ML)
Hemochromatosis,Lipid panel
Hemochromatosis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Hemochromatosis,Other therapeutic procedures
Hemochromatosis,Prostate specific antigen measurement (Prostate specific antigen test)
Hemochromatosis,Ophthalmic examination and evaluation (Eye exam)
Osteochondroma,sRadiographic imaging procedure
Osteochondroma,Plain x-ray (X ray)
Osteochondroma,Complete physical skin exam performed (ML)
Osteochondroma,Excision (Removal)
Osteochondroma,Biopsy
Osteochondroma,Wound care management
Osteochondroma,Other diagnostic procedures (interview; evaluation; consultation)
Osteochondroma,Physical therapy exercises (Exercises)
Cushing syndrome,sHematologic tests (Blood test)
Cushing syndrome,Electrolytes panel
Cushing syndrome,Magnetic resonance imaging (Mri)
Cushing syndrome,Complete physical skin exam performed (ML)
Cushing syndrome,Glucose measurement (Glucose level)
Cushing syndrome,Ophthalmic examination and evaluation (Eye exam)
Cushing syndrome,Depression screen (Depression screening)
Cushing syndrome,Psychological and psychiatric evaluation and therapy
Typhoid fever,sInfluenzavirus antibody assay
Typhoid fever,Blood culture
Typhoid fever,Complete blood count (Cbc)
Typhoid fever,Hematologic tests (Blood test)
Typhoid fever,Corneal transplant
Typhoid fever,Transurethral resection of prostate (TURP) (Turp)
Typhoid fever,Coronary thrombolysis
Typhoid fever,Control of epistaxis
Vitreous degeneration,sOphthalmic examination and evaluation (Eye exam)
Vitreous degeneration,Ophthalmologic and otologic diagnosis and treatment
Vitreous degeneration,Diagnostic procedures on eye
Vitreous degeneration,Repair of retinal tear; detachment
Vitreous degeneration,Other intraocular therapeutic procedures
Vitreous degeneration,Lens and cataract procedures
Vitreous degeneration,Other therapeutic procedures on eyelids; conjunctiva; cornea
Vitreous degeneration,Other extraocular muscle and orbit therapeutic procedures
Atrophic skin condition,sComplete physical skin exam performed (ML)
Atrophic skin condition,Excision (Removal)
Atrophic skin condition,Excision of skin lesion
Atrophic skin condition,Biopsy
Atrophic skin condition,Wound care management
Atrophic skin condition,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
Atrophic skin condition,Other diagnostic procedures on skin and subcutaneous tissue
Atrophic skin condition,Orthopedic casting
Aspergillosis,sRadiographic imaging procedure
Aspergillosis,Electrocardiogram
Aspergillosis,Plain x-ray (X ray)
Aspergillosis,Complete blood count (Cbc)
Aspergillosis,Hematologic tests (Blood test)
Aspergillosis,Magnetic resonance imaging (Mri)
Aspergillosis,Cardiac monitoring (Cardiac monitor)
Aspergillosis,Cardiac enzymes measurement (Cardiac enzymes test)
Uterine atony,sHematologic tests (Blood test)
Uterine atony,Urinalysis
Uterine atony,Complete blood count (Cbc)
Uterine atony,Radiographic imaging procedure
Uterine atony,Standard pregnancy test
Uterine atony,Pelvis exam
Uterine atony,Ultrasonography (Ultrasound)
Uterine atony,Glucose measurement (Glucose level)
Trichinosis,sChlamydia test
Trichinosis,Urinalysis
Trichinosis,Corneal transplant
Trichinosis,Transurethral resection of prostate (TURP) (Turp)
Trichinosis,Coronary thrombolysis
Trichinosis,Control of epistaxis
Trichinosis,CT scan abdomen (Ct of abdomen)
Trichinosis,Procedures on spleen (Spleen operation)
Whooping cough,sRadiographic imaging procedure
Whooping cough,Plain x-ray (X ray)
Whooping cough,Nebulizer therapy
Whooping cough,Other diagnostic procedures (interview; evaluation; consultation)
Whooping cough,Referral to home health care service
Whooping cough,Corneal transplant
Whooping cough,Procedures on spleen (Spleen operation)
Whooping cough,Removal of ectopic pregnancy
Pick disease,sCorneal transplant
Pick disease,Transurethral resection of prostate (TURP) (Turp)
Pick disease,Coronary thrombolysis
Pick disease,Control of epistaxis
Pick disease,CT scan abdomen (Ct of abdomen)
Pick disease,Procedures on spleen (Spleen operation)
Pick disease,Bone marrow transplant (Bmt)
Pick disease,Removal of ectopic pregnancy
Open wound of the lip,sSuturing of wound
Open wound of the lip,Wound care management
Open wound of the lip,X-ray computed tomography (Scan ct)
Open wound of the lip,CAT scan of head (Head ct)
Open wound of the lip,Blood alcohol
Open wound of the lip,Culture wound
Open wound of the lip,Other non-OR therapeutic procedures on nose; mouth and pharynx
Open wound of the lip,Nonoperative removal of foreign body
Subacute thyroiditis,sHematologic tests (Blood test)
Subacute thyroiditis,Radiographic imaging procedure
Subacute thyroiditis,Urinalysis
Subacute thyroiditis,Pelvis exam
Subacute thyroiditis,Ultrasonography (Ultrasound)
Subacute thyroiditis,Glucose measurement (Glucose level)
Subacute thyroiditis,Examination of breast
Subacute thyroiditis,Other diagnostic procedures (interview; evaluation; consultation)
Oral mucosal lesion,sBiopsy
Oral mucosal lesion,Excision (Removal)
Oral mucosal lesion,Diagnostic procedures on nose; mouth and pharynx
Oral mucosal lesion,Other OR therapeutic procedures on nose; mouth and pharynx
Oral mucosal lesion,Diagnostic procedures on ear
Oral mucosal lesion,Tracheoscopy and laryngoscopy with biopsy
Oral mucosal lesion,Other therapeutic ear procedures
Oral mucosal lesion,Upper gastrointestinal endoscopy; biopsy
Open wound due to trauma,sWound care management
Open wound due to trauma,Suturing of wound
Open wound due to trauma,Complete physical skin exam performed (ML)
Open wound due to trauma,CAT scan of head (Head ct)
Open wound due to trauma,Application of splint (Splinting)
Open wound due to trauma,Examination of foot
Open wound due to trauma,Blood alcohol
Open wound due to trauma,Other therapeutic procedures
Intracerebral hemorrhage,sRadiographic imaging procedure
Intracerebral hemorrhage,Hematologic tests (Blood test)
Intracerebral hemorrhage,X-ray computed tomography (Scan ct)
Intracerebral hemorrhage,Complete blood count (Cbc)
Intracerebral hemorrhage,Electrocardiogram
Intracerebral hemorrhage,Plain x-ray (X ray)
Intracerebral hemorrhage,Intravenous fluid replacement
Intracerebral hemorrhage,Kidney function tests (Kidney function test)
Alzheimer disease,sElectrocardiogram
Alzheimer disease,X-ray computed tomography (Scan ct)
Alzheimer disease,Mental health counseling
Alzheimer disease,Other diagnostic procedures (interview; evaluation; consultation)
Alzheimer disease,Psychotherapy
Alzheimer disease,Magnetic resonance imaging (Mri)
Alzheimer disease,CAT scan of head (Head ct)
Alzheimer disease,Insertion of catheter into urinary bladder
Vaginismus,sPelvis exam
Vaginismus,Examination of breast
Vaginismus,Urinalysis
Vaginismus,Ultrasonography (Ultrasound)
Vaginismus,Rectal examination
Vaginismus,Complete physical skin exam performed (ML)
Vaginismus,Mammography (Mammogram)
Vaginismus,Pap smear
Systemic lupus erythematosis (SLE),sHematologic tests (Blood test)
Systemic lupus erythematosis (SLE),Complete blood count (Cbc)
Systemic lupus erythematosis (SLE),Glucose measurement (Glucose level)
Systemic lupus erythematosis (SLE),Urinalysis
Systemic lupus erythematosis (SLE),Complete physical skin exam performed (ML)
Systemic lupus erythematosis (SLE),Electrolytes panel
Systemic lupus erythematosis (SLE),Lipid panel
Systemic lupus erythematosis (SLE),Hemoglobin A1c measurement (Hemoglobin a1c test)
Premature ovarian failure,sRadiographic imaging procedure
Premature ovarian failure,Hematologic tests (Blood test)
Premature ovarian failure,Ultrasonography (Ultrasound)
Premature ovarian failure,Pelvis exam
Premature ovarian failure,Examination of breast
Premature ovarian failure,Standard pregnancy test
Premature ovarian failure,Rectal examination
Premature ovarian failure,Microscopic examination (bacterial smear; culture; toxicology)
Thoracic outlet syndrome,sPhysical therapy exercises (Exercises)
Thoracic outlet syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Thoracic outlet syndrome,Other physical therapy and rehabilitation
Thoracic outlet syndrome,Magnetic resonance imaging (Mri)
Thoracic outlet syndrome,Other therapeutic procedures
Thoracic outlet syndrome,Thyroidectomy; partial or complete
Thoracic outlet syndrome,Cardiac stress tests
Thoracic outlet syndrome,Orthopedic casting
Ganglion cyst,sRadiographic imaging procedure
Ganglion cyst,Plain x-ray (X ray)
Ganglion cyst,Complete physical skin exam performed (ML)
Ganglion cyst,Magnetic resonance imaging (Mri)
Ganglion cyst,Excision (Removal)
Ganglion cyst,Wound care management
Ganglion cyst,Physical therapy exercises (Exercises)
Ganglion cyst,Application of splint (Splinting)
Dislocation of the knee,sRadiographic imaging procedure
Dislocation of the knee,Plain x-ray (X ray)
Dislocation of the knee,Application of splint (Splinting)
Dislocation of the knee,Physical therapy exercises (Exercises)
Dislocation of the knee,Magnetic resonance imaging (Mri)
Dislocation of the knee,Other diagnostic procedures (interview; evaluation; consultation)
Dislocation of the knee,Electroencephalogram (EEG) (Eeg)
Dislocation of the knee,Other non-OR therapeutic procedures on musculoskeletal system
Crohn disease,sHematologic tests (Blood test)
Crohn disease,Complete blood count (Cbc)
Crohn disease,Urinalysis
Crohn disease,Glucose measurement (Glucose level)
Crohn disease,Intravenous fluid replacement
Crohn disease,Kidney function tests (Kidney function test)
Crohn disease,Electrolytes panel
Crohn disease,X-ray computed tomography (Scan ct)
Postoperative infection,sWound care management
Postoperative infection,Hematologic tests (Blood test)
Postoperative infection,Complete blood count (Cbc)
Postoperative infection,Intravenous fluid replacement
Postoperative infection,Complete physical skin exam performed (ML)
Postoperative infection,Glucose measurement (Glucose level)
Postoperative infection,Electrolytes panel
Postoperative infection,Kidney function tests (Kidney function test)
Folate deficiency,sHematologic tests (Blood test)
Folate deficiency,Complete blood count (Cbc)
Folate deficiency,Electrolytes panel
Folate deficiency,Glucose measurement (Glucose level)
Folate deficiency,Urinalysis
Folate deficiency,Kidney function tests (Kidney function test)
Folate deficiency,Electrocardiogram
Folate deficiency,Plain x-ray (X ray)
Fluid overload,sHematologic tests (Blood test)
Fluid overload,Complete blood count (Cbc)
Fluid overload,Radiographic imaging procedure
Fluid overload,Electrocardiogram
Fluid overload,Plain x-ray (X ray)
Fluid overload,Glucose measurement (Glucose level)
Fluid overload,Kidney function tests (Kidney function test)
Fluid overload,Electrolytes panel
Atrial flutter,sElectrocardiogram
Atrial flutter,Hematologic tests (Blood test)
Atrial flutter,Radiographic imaging procedure
Atrial flutter,Complete blood count (Cbc)
Atrial flutter,Electrolytes panel
Atrial flutter,Glucose measurement (Glucose level)
Atrial flutter,Kidney function tests (Kidney function test)
Atrial flutter,Plain x-ray (X ray)
Skin disorder,sComplete physical skin exam performed (ML)
Skin disorder,Excision (Removal)
Skin disorder,Wound care management
Skin disorder,Biopsy
Skin disorder,Excision of skin lesion
Skin disorder,Other diagnostic procedures on skin and subcutaneous tissue
Skin disorder,Lipid panel
Skin disorder,Examination of foot
Floaters,sOphthalmic examination and evaluation (Eye exam)
Floaters,Other intraocular therapeutic procedures
Floaters,Other therapeutic procedures on eyelids; conjunctiva; cornea
Floaters,Ophthalmologic and otologic diagnosis and treatment
Floaters,Biopsy
Floaters,Diagnostic procedures on eye
Tooth disorder,sOther diagnostic radiology and related techniques
Tooth disorder,Treatment; facial fracture or dislocation
Tooth disorder,Dental procedures (Care dental)
Heart attack,sElectrocardiogram
Heart attack,Hematologic tests (Blood test)
Heart attack,Complete blood count (Cbc)
Heart attack,Radiographic imaging procedure
Heart attack,Plain x-ray (X ray)
Heart attack,Cardiac enzymes measurement (Cardiac enzymes test)
Heart attack,Kidney function tests (Kidney function test)
Heart attack,Intravenous fluid replacement
Open wound of the abdomen,sWound care management
Open wound of the abdomen,Complete physical skin exam performed (ML)
Open wound of the abdomen,Intravenous fluid replacement
Open wound of the abdomen,X-ray computed tomography (Scan ct)
Open wound of the abdomen,Kidney function tests (Kidney function test)
Open wound of the abdomen,Suturing of wound
Open wound of the abdomen,Prothrombin time assay (Prothrombin time)
Open wound of the abdomen,Liver function tests (Liver test)
Fracture of the leg,sRadiographic imaging procedure
Fracture of the leg,Plain x-ray (X ray)
Fracture of the leg,Complete blood count (Cbc)
Fracture of the leg,Intravenous fluid replacement
Fracture of the leg,Kidney function tests (Kidney function test)
Fracture of the leg,Electrocardiogram
Fracture of the leg,Electrolytes panel
Fracture of the leg,Glucose measurement (Glucose level)
Oral thrush (yeast infection),sComplete physical skin exam performed (ML)
Oral thrush (yeast infection),Other diagnostic procedures (interview; evaluation; consultation)
Oral thrush (yeast infection),Occupational therapy assessment (Speech therapy)
Oral thrush (yeast infection),Diagnostic bronchoscopy and biopsy of bronchus
Oral thrush (yeast infection),Other non-OR therapeutic procedures on skin and breast
Oral thrush (yeast infection),Nonoperative urinary system measurements
Oral thrush (yeast infection),Other respiratory therapy
Oral thrush (yeast infection),Other OR therapeutic nervous system procedures
Pityriasis rosea,sComplete physical skin exam performed (ML)
Pityriasis rosea,Microscopic examination (bacterial smear; culture; toxicology)
Pityriasis rosea,Examination of foot
Pityriasis rosea,Biopsy
Pityriasis rosea,Ophthalmic examination and evaluation (Eye exam)
Pityriasis rosea,Other therapeutic procedures
Pityriasis rosea,HIV screen (Hiv test)
Pityriasis rosea,Bone density scan
Allergy to animals,sOther diagnostic procedures on skin and subcutaneous tissue
Allergy to animals,Influenzavirus antibody assay
Allergy to animals,Blood culture
Allergy to animals,CAT scan of head (Head ct)
Allergy to animals,Liver function tests (Liver test)
Allergy to animals,Corneal transplant
Allergy to animals,Procedures on spleen (Spleen operation)
Allergy to animals,Removal of ectopic pregnancy
Orthostatic hypotension,sHematologic tests (Blood test)
Orthostatic hypotension,Complete blood count (Cbc)
Orthostatic hypotension,Electrocardiogram
Orthostatic hypotension,Radiographic imaging procedure
Orthostatic hypotension,Intravenous fluid replacement
Orthostatic hypotension,Glucose measurement (Glucose level)
Orthostatic hypotension,Electrolytes panel
Orthostatic hypotension,Plain x-ray (X ray)
Obstructive sleep apnea (OSA),sOther diagnostic procedures (interview; evaluation; consultation)
Obstructive sleep apnea (OSA),Other therapeutic procedures on eyelids; conjunctiva; cornea
Obstructive sleep apnea (OSA),Ultrasonography (Ultrasound)
Obstructive sleep apnea (OSA),Echocardiography
Obstructive sleep apnea (OSA),Electroencephalogram (EEG) (Eeg)
Obstructive sleep apnea (OSA),Ophthalmologic and otologic diagnosis and treatment
Obstructive sleep apnea (OSA),Referral to home health care service
Obstructive sleep apnea (OSA),Other OR upper GI therapeutic procedures
Hypokalemia,sHematologic tests (Blood test)
Hypokalemia,Complete blood count (Cbc)
Hypokalemia,Intravenous fluid replacement
Hypokalemia,Kidney function tests (Kidney function test)
Hypokalemia,Electrolytes panel
Hypokalemia,Glucose measurement (Glucose level)
Hypokalemia,Radiographic imaging procedure
Hypokalemia,Urinalysis
Psoriasis,sComplete physical skin exam performed (ML)
Psoriasis,Lipid panel
Psoriasis,Other therapeutic procedures
Psoriasis,Biopsy
Psoriasis,Excision (Removal)
Psoriasis,Other diagnostic procedures on skin and subcutaneous tissue
Psoriasis,Excision of skin lesion
Psoriasis,Referral to home health care service
Dislocation of the shoulder,sRadiographic imaging procedure
Dislocation of the shoulder,Plain x-ray (X ray)
Dislocation of the shoulder,Application of splint (Splinting)
Dislocation of the shoulder,Intravenous fluid replacement
Dislocation of the shoulder,Physical therapy exercises (Exercises)
Dislocation of the shoulder,Cardiac monitoring (Cardiac monitor)
Dislocation of the shoulder,Magnetic resonance imaging (Mri)
Dislocation of the shoulder,Orthopedic casting
Intussusception,sRadiographic imaging procedure
Intussusception,Complete blood count (Cbc)
Intussusception,Hematologic tests (Blood test)
Intussusception,X-ray computed tomography (Scan ct)
Intussusception,Intravenous fluid replacement
Intussusception,Electrolytes panel
Intussusception,Plain x-ray (X ray)
Intussusception,Liver function tests (Liver test)
Cervicitis,sUrinalysis
Cervicitis,Standard pregnancy test
Cervicitis,Pelvis exam
Cervicitis,Hematologic tests (Blood test)
Cervicitis,Complete blood count (Cbc)
Cervicitis,Glucose measurement (Glucose level)
Cervicitis,Kidney function tests (Kidney function test)
Cervicitis,Intravenous fluid replacement
Abscess of the pharynx,sKidney function tests (Kidney function test)
Abscess of the pharynx,Intravenous fluid replacement
Abscess of the pharynx,X-ray computed tomography (Scan ct)
Abscess of the pharynx,Other diagnostic procedures (interview; evaluation; consultation)
Abscess of the pharynx,Influenzavirus antibody assay
Abscess of the pharynx,Excision (Removal)
Abscess of the pharynx,Tracheoscopy and laryngoscopy with biopsy
Abscess of the pharynx,Other therapeutic ear procedures
Primary thrombocythemia,sHematologic tests (Blood test)
Primary thrombocythemia,Complete blood count (Cbc)
Primary thrombocythemia,Complete physical skin exam performed (ML)
Primary thrombocythemia,Glucose measurement (Glucose level)
Primary thrombocythemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Primary thrombocythemia,Other diagnostic procedures (interview; evaluation; consultation)
Primary thrombocythemia,Biopsy
Primary thrombocythemia,Ultrasonography (Ultrasound)
Arthritis of the hip,sRadiographic imaging procedure
Arthritis of the hip,Plain x-ray (X ray)
Arthritis of the hip,Physical therapy exercises (Exercises)
Arthritis of the hip,Magnetic resonance imaging (Mri)
Arthritis of the hip,Other therapeutic procedures
Arthritis of the hip,Insertion of catheter or spinal stimulator and injection into spinal canal
Arthritis of the hip,Insertion of catheter into urinary bladder
Arthritis of the hip,Other non-OR therapeutic procedures on musculoskeletal system
Decubitus ulcer,sWound care management
Decubitus ulcer,Complete physical skin exam performed (ML)
Decubitus ulcer,Debridement of wound; infection or burn
Decubitus ulcer,Excision (Removal)
Decubitus ulcer,Referral to home health care service
Decubitus ulcer,Examination of foot
Decubitus ulcer,Traction; splints; and other wound care
Decubitus ulcer,Microscopic examination (bacterial smear; culture; toxicology)
Hypernatremia,sHematologic tests (Blood test)
Hypernatremia,Complete blood count (Cbc)
Hypernatremia,Intravenous fluid replacement
Hypernatremia,Radiographic imaging procedure
Hypernatremia,Plain x-ray (X ray)
Hypernatremia,Glucose measurement (Glucose level)
Hypernatremia,Kidney function tests (Kidney function test)
Hypernatremia,Electrolytes panel
Sensorineural hearing loss,sOphthalmologic and otologic diagnosis and treatment
Sensorineural hearing loss,Magnetic resonance imaging (Mri)
Sensorineural hearing loss,Other diagnostic procedures (interview; evaluation; consultation)
Sensorineural hearing loss,Other therapeutic ear procedures
